Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
150,Kendrick Bourne,WR,24.084,2019-10-27,NFL,SFO,,CAR,W 51-13,7,8,Sun,1,1,12,12.00,0,100.0%,12.00
151,Keelan Cole,WR,26.190,2019-10-27,NFL,JAX,,NYJ,W 29-15,8,8,Sun,2,2,12,6.00,1,100.0%,6.00
152,Kelvin Harmon,WR,22.313,2019-10-24,NFL,WAS,@,MIN,L 9-19,8,8,Thu,1,1,12,12.00,0,100.0%,12.00
153,Allen Hurns,WR,27.350,2019-10-28,NFL,MIA,@,PIT,L 14-27,7,8,Mon,1,1,12,12.00,1,100.0%,12.00
154,David Montgomery,RB,22.142,2019-10-27,NFL,CHI,,LAC,L 16-17,7,8,Sun,5,4,12,3.00,0,80.0%,2.40
155,Jeremy Sprinkle,TE,25.075,2019-10-24,NFL,WAS,@,MIN,L 9-19,8,8,Thu,2,2,12,6.00,0,100.0%,6.00
156,Jarius Wright,WR,29.336,2019-10-27,NFL,CAR,@,SFO,L 13-51,7,8,Sun,4,2,12,6.00,0,50.0%,3.00
157,Jordan Akins,TE,27.191,2019-10-27,NFL,HOU,,OAK,W 27-24,8,8,Sun,5,2,11,5.50,0,40.0%,2.20
158,Kalen Ballage,RB,23.310,2019-10-28,NFL,MIA,@,PIT,L 14-27,7,8,Mon,1,1,11,11.00,0,100.0%,11.00
159,A.J. Brown,WR,22.119,2019-10-27,NFL,TEN,,TAM,W 27-23,8,8,Sun,3,2,11,5.50,1,66.7%,3.67
160,Antonio Callaway,WR,22.291,2019-10-27,NFL,CLE,@,NWE,L 13-27,7,8,Sun,3,2,11,5.50,0,66.7%,3.67
161,Seth Devalve,TE,26.271,2019-10-27,NFL,JAX,,NYJ,W 29-15,8,8,Sun,1,1,11,11.00,0,100.0%,11.00
162,Jaeden Graham,TE,24.017,2019-10-27,NFL,ATL,,SEA,L 20-27,8,8,Sun,1,1,11,11.00,0,100.0%,11.00
163,Jeff Heuerman,TE,26.337,2019-10-27,NFL,DEN,@,IND,L 13-15,8,8,Sun,1,1,11,11.00,0,100.0%,11.00
164,Marcedes Lewis,TE,35.161,2019-10-27,NFL,GNB,@,KAN,W 31-24,8,8,Sun,1,1,11,11.00,0,100.0%,11.00
165,Zach Line ,FB,29.154,2019-10-27,NFL,NOR,,ARI,W 31-9,8,8,Sun,2,1,11,11.00,0,50.0%,5.50
166,Joe Mixon,HB,23.095,2019-10-27,NFL,CIN,@,LAR,L 10-24,8,8,Sun,4,4,11,2.75,1,100.0%,2.75
167,Wendell Smallwood,RB,25.268,2019-10-24,NFL,WAS,@,MIN,L 9-19,8,8,Thu,2,1,11,11.00,0,50.0%,5.50
168,Darren Waller,TE,27.044,2019-10-27,NFL,OAK,@,HOU,L 24-27,7,8,Sun,8,2,11,5.50,1,25.0%,1.38
169,Mike Gesicki,TE,24.025,2019-10-28,NFL,MIA,@,PIT,L 14-27,7,8,Mon,3,2,10,5.00,0,66.7%,3.33
170,Virgil Green,TE,31.085,2019-10-27,NFL,LAC,@,CHI,W 17-16,8,8,Sun,1,1,10,10.00,0,100.0%,10.00
171,Foster Moreau,TE,22.174,2019-10-27,NFL,OAK,@,HOU,L 24-27,7,8,Sun,2,1,10,10.00,0,50.0%,5.00
172,Vyncint Smith,WR,23.140,2019-10-27,NFL,NYJ,@,JAX,L 15-29,7,8,Sun,4,2,10,5.00,0,50.0%,2.50
173,Rex Burkhead ,RB,29.117,2019-10-27,NFL,NWE,,CLE,W 27-13,8,8,Sun,1,1,9,9.00,0,100.0%,9.00
174,Austin Carr,WR,25.306,2019-10-27,NFL,NOR,,ARI,W 31-9,8,8,Sun,2,1,9,9.00,0,50.0%,4.50
175,Corey Davis ,WR,24.289,2019-10-27,NFL,TEN,,TAM,W 27-23,8,8,Sun,6,2,9,4.50,0,33.3%,1.50
176,Andy Janovich,FB,26.157,2019-10-27,NFL,DEN,@,IND,L 13-15,8,8,Sun,2,2,9,4.50,0,100.0%,4.50
177,Maxx Williams,TE,25.198,2019-10-27,NFL,ARI,@,NOR,L 9-31,8,8,Sun,1,1,9,9.00,0,100.0%,9.00
178,Peyton Barber,RB,25.242,2019-10-27,NFL,TAM,@,TEN,L 23-27,7,8,Sun,3,1,8,8.00,0,33.3%,2.67
179,Larry Fitzgerald,WR,36.057,2019-10-27,NFL,ARI,@,NOR,L 9-31,8,8,Sun,4,2,8,4.00,0,50.0%,2.00
180,Derrick Henry ,RB,25.296,2019-10-27,NFL,TEN,,TAM,W 27-23,8,8,Sun,1,1,8,8.00,0,100.0%,8.00
181,Tyler Higbee,TE,26.299,2019-10-27,NFL,LAR,,CIN,W 24-10,8,8,Sun,1,1,8,8.00,0,100.0%,8.00
182,Marqise Lee ,WR,27.336,2019-10-27,NFL,JAX,,NYJ,W 29-15,8,8,Sun,1,1,8,8.00,0,100.0%,8.00
183,DeAndrew White,WR,28.011,2019-10-27,NFL,CAR,@,SFO,L 13-51,7,8,Sun,1,1,8,8.00,0,100.0%,8.00
184,Nelson Agholor,WR,26.156,2019-10-27,NFL,PHI,@,BUF,W 31-13,8,8,Sun,4,4,7,1.75,0,100.0%,1.75
185,Geronimo Allison,WR,25.282,2019-10-27,NFL,GNB,@,KAN,W 31-24,8,8,Sun,3,1,7,7.00,0,33.3%,2.33
186,Nick Chubb,RB,23.304,2019-10-27,NFL,CLE,@,NWE,L 13-27,7,8,Sun,1,1,7,7.00,0,100.0%,7.00
187,Chester Rogers,WR,25.288,2019-10-27,NFL,IND,,DEN,W 15-13,7,8,Sun,2,1,7,7.00,0,50.0%,3.50
188,Luke Willson,TE,29.285,2019-10-27,NFL,SEA,@,ATL,W 27-20,8,8,Sun,1,1,7,7.00,0,100.0%,7.00
189,Josh Oliver ,TE,22.220,2019-10-27,NFL,JAX,,NYJ,W 29-15,8,8,Sun,2,1,6,6.00,0,50.0%,3.00
190,Zach Pascal,WR,24.313,2019-10-27,NFL,IND,,DEN,W 15-13,7,8,Sun,2,1,6,6.00,0,50.0%,3.00
191,Demarcus Robinson,WR,25.036,2019-10-27,NFL,KAN,,GNB,L 24-31,8,8,Sun,2,2,6,3.00,0,100.0%,3.00
192,Lee Smith,TE,31.340,2019-10-27,NFL,BUF,,PHI,L 13-31,7,8,Sun,1,1,6,6.00,0,100.0%,6.00
193,Duke Williams,WR,26.167,2019-10-27,NFL,BUF,,PHI,L 13-31,7,8,Sun,2,1,6,6.00,0,50.0%,3.00
194,James Conner,RB,24.176,2019-10-28,NFL,PIT,,MIA,W 27-14,7,8,Mon,4,3,5,1.67,0,75.0%,1.25
195,Mike Davis,RB,26.250,2019-10-27,NFL,CHI,,LAC,L 16-17,7,8,Sun,1,1,5,5.00,0,100.0%,5.00
196,Chase Edmonds,RB,23.197,2019-10-27,NFL,ARI,@,NOR,L 9-31,8,8,Sun,4,2,5,2.50,0,50.0%,1.25
197,Royce Freeman,RB,23.245,2019-10-27,NFL,DEN,@,IND,L 13-15,8,8,Sun,2,1,5,5.00,0,50.0%,2.50
198,Jakobi Meyers,WR,22.352,2019-10-27,NFL,NWE,,CLE,W 27-13,8,8,Sun,2,1,5,5.00,0,50.0%,2.50
199,Dante Pettis,WR,24.004,2019-10-27,NFL,SFO,,CAR,W 51-13,7,8,Sun,3,1,5,5.00,0,33.3%,1.67
200,Albert Wilson,WR,27.108,2019-10-28,NFL,MIA,@,PIT,L 14-27,7,8,Mon,2,1,5,5.00,1,50.0%,2.50
201,Roosevelt Nix,FB,27.212,2019-10-28,NFL,PIT,,MIA,W 27-14,7,8,Mon,2,2,4,2.00,0,100.0%,2.00
202,C.J. Uzomah,TE,26.286,2019-10-27,NFL,CIN,@,LAR,L 10-24,8,8,Sun,2,1,4,4.00,0,50.0%,2.00
203,Marquez Valdes-Scantling,WR,25.017,2019-10-27,NFL,GNB,@,KAN,W 31-24,8,8,Sun,2,1,4,4.00,0,50.0%,2.00
204,DeAndre Washington,RB,26.247,2019-10-27,NFL,OAK,@,HOU,L 24-27,7,8,Sun,1,1,4,4.00,0,100.0%,4.00
205,Reggie Bonnafon,RB,23.296,2019-10-27,NFL,CAR,@,SFO,L 13-51,7,8,Sun,3,1,3,3.00,0,33.3%,1.00
206,Melvin Gordon,RB,26.197,2019-10-27,NFL,LAC,@,CHI,W 17-16,8,8,Sun,3,2,3,1.50,0,66.7%,1.00
207,Alexander Mattison,RB,21.127,2019-10-24,NFL,MIN,,WAS,W 19-9,8,8,Thu,2,2,3,1.50,0,100.0%,1.50
208,Stanley Morgan Jr.,WR,23.050,2019-10-27,NFL,CIN,@,LAR,L 10-24,8,8,Sun,1,1,3,3.00,0,100.0%,3.00
209,Dare Ogunbowale,RB,25.176,2019-10-27,NFL,TAM,@,TEN,L 23-27,7,8,Sun,3,1,3,3.00,0,33.3%,1.00
210,Rashard Higgins,WR,25.020,2019-10-27,NFL,CLE,@,NWE,L 13-27,7,8,Sun,2,1,2,2.00,0,50.0%,1.00
211,Dion Lewis,RB,29.030,2019-10-27,NFL,TEN,,TAM,W 27-23,8,8,Sun,1,1,2,2.00,0,100.0%,2.00
212,J.D. McKissic,RB,26.073,2019-10-27,NFL,DET,,NYG,W 31-26,7,8,Sun,3,3,2,0.67,0,100.0%,0.67
213,Cordarrelle Patterson,WR,28.224,2019-10-27,NFL,CHI,,LAC,L 16-17,7,8,Sun,2,2,1,0.50,0,100.0%,0.50
214,Laquon Treadwell,WR,24.132,2019-10-24,NFL,MIN,,WAS,W 19-9,8,8,Thu,1,1,1,1.00,0,100.0%,1.00
215,Michael Deiter,G,23.055,2019-10-28,NFL,MIA,@,PIT,L 14-27,7,8,Mon,1,1,0,0.00,0,100.0%,0.00
216,Rhett Ellison,TE,31.024,2019-10-27,NFL,NYG,@,DET,L 26-31,8,8,Sun,2,1,-1,-1.00,0,50.0%,-0.50
217,Darwin Thompson,RB,23.175,2019-10-27,NFL,KAN,,GNB,L 24-31,8,8,Sun,1,1,-1,-1.00,0,100.0%,-1.00
218,Andy Dalton,QB,31.363,2019-10-27,NFL,CIN,@,LAR,L 10-24,8,8,Sun,1,1,-4,-4.00,0,100.0%,-4.00
1,Mike Evans,WR,26.074,2019-11-03,NFL,TAM,@,SEA,L 34-40,8,9,Sun,16,12,180,15.00,1,75.0%,11.25
2,Tyler Lockett,WR,27.036,2019-11-03,NFL,SEA,,TAM,W 40-34,9,9,Sun,18,13,152,11.69,2,72.2%,8.44
3,Tyreek Hill,WR,25.247,2019-11-03,NFL,KAN,,MIN,W 26-23,9,9,Sun,9,6,140,23.33,1,66.7%,15.56
4,Kenny Golladay,WR,26.000,2019-11-03,NFL,DET,@,OAK,L 24-31,8,9,Sun,7,4,132,33.00,1,57.1%,18.86
5,Marvin Jones ,WR,29.236,2019-11-03,NFL,DET,@,OAK,L 24-31,8,9,Sun,10,8,126,15.75,1,80.0%,12.60
6,D.K. Metcalf,WR,21.324,2019-11-03,NFL,SEA,,TAM,W 40-34,9,9,Sun,9,6,123,20.50,1,66.7%,13.67
7,Noah Fant,TE,21.348,2019-11-03,NFL,DEN,,CLE,W 24-19,9,9,Sun,4,3,115,38.33,1,75.0%,28.75
8,Emmanuel Sanders ,WR,32.228,2019-10-31,NFL,SFO,@,ARI,W 28-25,8,9,Thu,9,7,112,16.00,1,77.8%,12.44
9,Mike Williams ,WR,25.030,2019-11-03,NFL,LAC,,GNB,W 26-11,9,9,Sun,3,3,111,37.00,0,100.0%,37.00
10,Zach Ertz,TE,28.358,2019-11-03,NFL,PHI,,CHI,W 22-14,9,9,Sun,11,9,103,11.44,1,81.8%,9.36
11,D.J. Moore,WR,22.203,2019-11-03,NFL,CAR,,TEN,W 30-20,8,9,Sun,10,7,101,14.43,0,70.0%,10.10
12,Mike Gesicki,TE,24.031,2019-11-03,NFL,MIA,,NYJ,W 26-18,8,9,Sun,6,6,95,15.83,0,100.0%,15.83
13,Julian Edelman,WR,33.165,2019-11-03,NFL,NWE,@,BAL,L 20-37,9,9,Sun,11,10,89,8.90,0,90.9%,8.09
14,Andy Isabella,WR,22.347,2019-10-31,NFL,ARI,,SFO,L 25-28,9,9,Thu,1,1,88,88.00,1,100.0%,88.00
15,Odell Beckham Jr.,WR,26.363,2019-11-03,NFL,CLE,@,DEN,L 19-24,8,9,Sun,6,5,87,17.40,0,83.3%,14.50
16,Hunter Henry ,TE,24.331,2019-11-03,NFL,LAC,,GNB,W 26-11,9,9,Sun,10,7,84,12.00,0,70.0%,8.40
17,Jamison Crowder,WR,26.139,2019-11-03,NFL,NYJ,@,MIA,L 18-26,8,9,Sun,9,8,83,10.38,1,88.9%,9.22
18,A.J. Brown,WR,22.126,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,7,4,81,20.25,0,57.1%,11.57
19,Mohamed Sanu,WR,30.073,2019-11-03,NFL,NWE,@,BAL,L 20-37,9,9,Sun,14,10,81,8.10,1,71.4%,5.79
20,Keelan Cole,WR,26.197,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,6,5,80,16.00,0,83.3%,13.33
21,Amari Cooper,WR,25.140,2019-11-04,NFL,DAL,@,NYG,W 37-18,8,9,Mon,7,4,80,20.00,1,57.1%,11.43
22,George Kittle,TE,26.022,2019-10-31,NFL,SFO,@,ARI,W 28-25,8,9,Thu,8,6,79,13.17,1,75.0%,9.88
23,John Brown,WR,29.214,2019-11-03,NFL,BUF,,WAS,W 24-9,8,9,Sun,7,4,76,19.00,0,57.1%,10.86
24,Zach Pascal,WR,24.320,2019-11-03,NFL,IND,@,PIT,L 24-26,8,9,Sun,6,5,76,15.20,1,83.3%,12.67
25,Jaylen Samuels,RB,23.106,2019-11-03,NFL,PIT,,IND,W 26-24,8,9,Sun,13,13,73,5.62,0,100.0%,5.62
26,Preston Williams,WR,22.221,2019-11-03,NFL,MIA,,NYJ,W 26-18,8,9,Sun,9,5,72,14.40,2,55.6%,8.00
27,Taylor Gabriel,WR,28.259,2019-11-03,NFL,CHI,@,PHI,L 14-22,8,9,Sun,3,3,69,23.00,0,100.0%,23.00
28,James Washington,WR,23.215,2019-11-03,NFL,PIT,,IND,W 26-24,8,9,Sun,4,4,69,17.25,0,100.0%,17.25
29,Duke Johnson,RB,26.041,2019-11-03,NFL,HOU,@,JAX,W 26-3,9,9,Sun,5,5,68,13.60,0,100.0%,13.60
30,Saquon Barkley,RB,22.268,2019-11-04,NFL,NYG,,DAL,L 18-37,9,9,Mon,8,6,67,11.17,0,75.0%,8.38
31,Ryquell Armstead,RB,23.004,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,5,5,65,13.00,0,100.0%,13.00
32,Adam Humphries,WR,26.132,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,4,4,65,16.25,0,100.0%,16.25
33,Curtis Samuel ,WR,23.084,2019-11-03,NFL,CAR,,TEN,W 30-20,8,9,Sun,6,3,64,21.33,1,50.0%,10.67
34,Sammy Watkins,WR,26.142,2019-11-03,NFL,KAN,,MIN,W 26-23,9,9,Sun,10,7,63,9.00,0,70.0%,6.30
35,Travis Kelce,TE,30.029,2019-11-03,NFL,KAN,,MIN,W 26-23,9,9,Sun,9,7,62,8.86,0,77.8%,6.89
36,Chris Godwin,WR,23.249,2019-11-03,NFL,TAM,@,SEA,L 34-40,8,9,Sun,9,7,61,8.71,0,77.8%,6.78
37,Laquon Treadwell,WR,24.142,2019-11-03,NFL,MIN,@,KAN,L 23-26,9,9,Sun,5,3,58,19.33,0,60.0%,11.60
38,Jason Witten,TE,37.182,2019-11-04,NFL,DAL,@,NYG,W 37-18,8,9,Mon,9,8,58,7.25,0,88.9%,6.44
39,DeVante Parker,WR,26.287,2019-11-03,NFL,MIA,,NYJ,W 26-18,8,9,Sun,6,4,57,14.25,1,66.7%,9.50
40,Antonio Callaway,WR,22.298,2019-11-03,NFL,CLE,@,DEN,L 19-24,8,9,Sun,5,4,56,14.00,0,80.0%,11.20
41,T.J. Hockenson ,TE,22.123,2019-11-03,NFL,DET,@,OAK,L 24-31,8,9,Sun,7,3,56,18.67,0,42.9%,8.00
42,Jalen Richard,RB,26.019,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,4,3,56,18.67,0,75.0%,14.00
43,Courtland Sutton,WR,24.024,2019-11-03,NFL,DEN,,CLE,W 24-19,9,9,Sun,8,5,56,11.20,1,62.5%,7.00
44,Le'Veon Bell,RB,27.258,2019-11-03,NFL,NYJ,@,MIA,L 18-26,8,9,Sun,9,8,55,6.88,0,88.9%,6.11
45,Hunter Renfrow,WR,23.317,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,7,6,54,9.00,1,85.7%,7.71
46,Parris Campbell,WR,22.110,2019-11-03,NFL,IND,@,PIT,L 24-26,8,9,Sun,5,5,53,10.60,0,100.0%,10.60
47,Kenyan Drake,RB,25.278,2019-10-31,NFL,ARI,,SFO,L 25-28,9,9,Thu,4,4,52,13.00,0,100.0%,13.00
48,Kenny Stills,WR,27.195,2019-11-03,NFL,HOU,@,JAX,W 26-3,9,9,Sun,4,4,52,13.00,0,100.0%,13.00
49,Darren Waller,TE,27.051,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,2,2,52,26.00,0,100.0%,26.00
50,Jarvis Landry,WR,26.340,2019-11-03,NFL,CLE,@,DEN,L 19-24,8,9,Sun,13,6,51,8.50,1,46.2%,3.92
51,Ryan Griffin,TE,29.296,2019-11-03,NFL,NYJ,@,MIA,L 18-26,8,9,Sun,8,6,50,8.33,0,75.0%,6.25
52,Marquise Brown ,WR,22.152,2019-11-03,NFL,BAL,,NWE,W 37-20,8,9,Sun,4,3,48,16.00,0,75.0%,12.00
53,Corey Davis ,WR,24.296,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,5,4,48,12.00,0,80.0%,9.60
54,Evan Engram ,TE,25.063,2019-11-04,NFL,NYG,,DAL,L 18-37,9,9,Mon,8,6,48,8.00,0,75.0%,6.00
55,DeAndre Hopkins,WR,27.150,2019-11-03,NFL,HOU,@,JAX,W 26-3,9,9,Sun,11,8,48,6.00,1,72.7%,4.36
56,Tyrell Williams,WR,27.264,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,4,3,48,16.00,0,75.0%,12.00
57,James White ,RB,27.273,2019-11-03,NFL,NWE,@,BAL,L 20-37,9,9,Sun,3,2,46,23.00,0,66.7%,15.33
58,Dalvin Cook,RB,24.085,2019-11-03,NFL,MIN,@,KAN,L 23-26,9,9,Sun,7,4,45,11.25,0,57.1%,6.43
59,Devin Singletary,RB,22.061,2019-11-03,NFL,BUF,,WAS,W 24-9,8,9,Sun,4,3,45,15.00,0,75.0%,11.25
60,Allen Lazard,WR,23.327,2019-11-03,NFL,GNB,@,LAC,L 11-26,9,9,Sun,4,3,44,14.67,0,75.0%,11.00
61,Blake Jarwin,TE,25.111,2019-11-04,NFL,DAL,@,NYG,W 37-18,8,9,Mon,1,1,42,42.00,1,100.0%,42.00
62,Breshad Perriman,WR,26.054,2019-11-03,NFL,TAM,@,SEA,L 34-40,8,9,Sun,8,4,42,10.50,1,50.0%,5.25
63,Paul Richardson ,WR,27.204,2019-11-03,NFL,WAS,@,BUF,L 9-24,9,9,Sun,5,4,42,10.50,0,80.0%,8.40
64,Golden Tate,WR,31.094,2019-11-04,NFL,NYG,,DAL,L 18-37,9,9,Mon,6,6,42,7.00,0,100.0%,7.00
65,Davante Adams,WR,26.314,2019-11-03,NFL,GNB,@,LAC,L 11-26,9,9,Sun,11,7,41,5.86,0,63.6%,3.73
66,Seth Devalve,TE,26.278,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,5,4,41,10.25,0,80.0%,8.20
67,Keenan Allen,WR,27.190,2019-11-03,NFL,LAC,,GNB,W 26-11,9,9,Sun,4,3,40,13.33,0,75.0%,10.00
68,J.D. McKissic,RB,26.080,2019-11-03,NFL,DET,@,OAK,L 24-31,8,9,Sun,4,3,40,13.33,1,75.0%,10.00
69,Greg Olsen,TE,34.237,2019-11-03,NFL,CAR,,TEN,W 30-20,8,9,Sun,6,3,40,13.33,0,50.0%,6.67
70,Deebo Samuel,WR,23.289,2019-10-31,NFL,SFO,@,ARI,W 28-25,8,9,Thu,7,4,40,10.00,0,57.1%,5.71
71,Dallas Goedert,TE,24.304,2019-11-03,NFL,PHI,,CHI,W 22-14,9,9,Sun,5,4,39,9.75,0,80.0%,7.80
72,Terry McLaurin ,WR,24.049,2019-11-03,NFL,WAS,@,BUF,L 9-24,9,9,Sun,6,4,39,9.75,0,66.7%,6.50
73,Jamaal Williams,RB,24.214,2019-11-03,NFL,GNB,@,LAC,L 11-26,9,9,Sun,6,6,39,6.50,1,100.0%,6.50
74,Larry Fitzgerald,WR,36.061,2019-10-31,NFL,ARI,,SFO,L 25-28,9,9,Thu,4,4,38,9.50,0,100.0%,9.50
75,C.J. Ham,FB,26.104,2019-11-03,NFL,MIN,@,KAN,L 23-26,9,9,Sun,4,2,37,18.50,0,50.0%,9.25
76,Jacob Hollister,TE,25.350,2019-11-03,NFL,SEA,,TAM,W 40-34,9,9,Sun,6,4,37,9.25,2,66.7%,6.17
77,Derrick Henry ,RB,25.303,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,3,3,36,12.00,1,100.0%,12.00
78,Alshon Jeffery,WR,29.262,2019-11-03,NFL,PHI,,CHI,W 22-14,9,9,Sun,8,4,36,9.00,0,50.0%,4.50
79,David Montgomery,RB,22.149,2019-11-03,NFL,CHI,@,PHI,L 14-22,8,9,Sun,4,3,36,12.00,0,75.0%,9.00
80,Randall Cobb,WR,29.074,2019-11-04,NFL,DAL,@,NYG,W 37-18,8,9,Mon,8,6,35,5.83,0,75.0%,4.38
81,Marcell Ateman,WR,25.048,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,1,1,34,34.00,0,100.0%,34.00
82,Robby Anderson,WR,26.178,2019-11-03,NFL,NYJ,@,MIA,L 18-26,8,9,Sun,4,2,33,16.50,0,50.0%,8.25
83,Michael Gallup,WR,23.214,2019-11-04,NFL,DAL,@,NYG,W 37-18,8,9,Mon,6,2,33,16.50,1,33.3%,5.50
84,Jakeem Grant,WR,27.034,2019-11-03,NFL,MIA,,NYJ,W 26-18,8,9,Sun,5,3,33,11.00,0,60.0%,6.60
85,Dion Lewis,RB,29.037,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,5,5,33,6.60,0,100.0%,6.60
86,Irv Smith Jr.,TE,21.086,2019-11-03,NFL,MIN,@,KAN,L 23-26,9,9,Sun,6,4,33,8.25,0,66.7%,5.50
87,DJ Chark,WR,23.041,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,9,4,32,8.00,0,44.4%,3.56
88,Chris Conley,WR,27.009,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,7,2,32,16.00,0,28.6%,4.57
89,Leonard Fournette ,RB,24.289,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,6,5,32,6.40,0,83.3%,5.33
90,Miles Sanders ,RB,22.186,2019-11-03,NFL,PHI,,CHI,W 22-14,9,9,Sun,3,3,31,10.33,0,100.0%,10.33
91,Tajae Sharpe,WR,24.315,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,4,2,31,15.50,0,50.0%,7.75
92,Vance McDonald,TE,29.143,2019-11-03,NFL,PIT,,IND,W 26-24,8,9,Sun,7,5,30,6.00,1,71.4%,4.29
93,Danny Amendola,WR,34.001,2019-11-03,NFL,DET,@,OAK,L 24-31,8,9,Sun,5,3,29,9.67,0,60.0%,5.80
94,Ross Dwelley,TE,24.278,2019-10-31,NFL,SFO,@,ARI,W 28-25,8,9,Thu,4,4,29,7.25,0,100.0%,7.25
95,Melvin Gordon,RB,26.204,2019-11-03,NFL,LAC,,GNB,W 26-11,9,9,Sun,4,3,29,9.67,0,75.0%,7.25
96,Mark Ingram,RB,29.317,2019-11-03,NFL,BAL,,NWE,W 37-20,8,9,Sun,3,2,29,14.50,0,66.7%,9.67
97,Chris Carson,RB,25.048,2019-11-03,NFL,SEA,,TAM,W 40-34,9,9,Sun,3,2,28,14.00,0,66.7%,9.33
98,Ben Watson,TE,38.320,2019-11-03,NFL,NWE,@,BAL,L 20-37,9,9,Sun,5,4,28,7.00,0,80.0%,5.60
99,Nick Boyle,TE,26.259,2019-11-03,NFL,BAL,,NWE,W 37-20,8,9,Sun,5,5,27,5.40,1,100.0%,5.40
100,Nick Chubb,RB,23.311,2019-11-03,NFL,CLE,@,DEN,L 19-24,8,9,Sun,5,4,26,6.50,0,80.0%,5.20
101,Demetrius Harris,TE,28.097,2019-11-03,NFL,CLE,@,DEN,L 19-24,8,9,Sun,4,3,25,8.33,0,75.0%,6.25
102,Jordan Akins,TE,27.198,2019-11-03,NFL,HOU,@,JAX,W 26-3,9,9,Sun,3,3,24,8.00,0,100.0%,8.00
103,C.J. Board,WR,25.326,2019-11-03,NFL,JAX,,HOU,L 3-26,9,9,Sun,3,1,23,23.00,0,33.3%,7.67
104,Austin Ekeler,RB,24.170,2019-11-03,NFL,LAC,,GNB,W 26-11,9,9,Sun,4,4,23,5.75,0,100.0%,5.75
105,Kyle Rudolph ,TE,29.359,2019-11-03,NFL,MIN,@,KAN,L 23-26,9,9,Sun,5,3,23,7.67,1,60.0%,4.60
106,Jack Doyle,TE,29.182,2019-11-03,NFL,IND,@,PIT,L 24-26,8,9,Sun,4,3,22,7.33,1,75.0%,5.50
107,Bennie Fowler,WR,28.147,2019-11-04,NFL,NYG,,DAL,L 18-37,9,9,Mon,6,3,22,7.33,0,50.0%,3.67
108,KeeSean Johnson,WR,23.022,2019-10-31,NFL,ARI,,SFO,L 25-28,9,9,Thu,3,2,22,11.00,1,66.7%,7.33
109,Adrian Peterson,RB,34.227,2019-11-03,NFL,WAS,@,BUF,L 9-24,9,9,Sun,1,1,22,22.00,0,100.0%,22.00
110,Chester Rogers,WR,25.295,2019-11-03,NFL,IND,@,PIT,L 24-26,8,9,Sun,5,3,22,7.33,1,60.0%,4.40
111,Nelson Agholor,WR,26.163,2019-11-03,NFL,PHI,,CHI,W 22-14,9,9,Sun,8,3,21,7.00,0,37.5%,2.63
112,Geronimo Allison,WR,25.289,2019-11-03,NFL,GNB,@,LAC,L 11-26,9,9,Sun,2,2,21,10.50,0,100.0%,10.50
113,Mark Andrews,TE,23.058,2019-11-03,NFL,BAL,,NWE,W 37-20,8,9,Sun,3,2,21,10.50,0,66.7%,7.00
114,Nyheim Hines,RB,22.356,2019-11-03,NFL,IND,@,PIT,L 24-26,8,9,Sun,3,1,21,21.00,0,33.3%,7.00
115,Zay Jones ,WR,24.218,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,4,3,21,7.00,0,75.0%,5.25
116,Dante Pettis,WR,24.008,2019-10-31,NFL,SFO,@,ARI,W 28-25,8,9,Thu,1,1,21,21.00,1,100.0%,21.00
117,DeAndre Washington,RB,26.254,2019-11-03,NFL,OAK,,DET,W 31-24,8,9,Sun,1,1,21,21.00,0,100.0%,21.00
118,Christian McCaffrey ,RB,23.149,2019-11-03,NFL,CAR,,TEN,W 30-20,8,9,Sun,3,3,20,6.67,1,100.0%,6.67
119,Vyncint Smith,WR,23.147,2019-11-03,NFL,NYJ,@,MIA,L 18-26,8,9,Sun,3,1,20,20.00,0,33.3%,6.67
120,Luke Willson,TE,29.292,2019-11-03,NFL,SEA,,TAM,W 40-34,9,9,Sun,2,2,20,10.00,0,100.0%,10.00
121,Kalif Raymond,WR,25.087,2019-11-03,NFL,TEN,@,CAR,L 20-30,9,9,Sun,3,2,19,9.50,0,66.7%,6.33
